"ArchivePath","Source","MB"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\book-co-writer.skill","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\book-co-writer.skill","0.003"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\browseros-docs-offline.md","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\browseros-docs-offline.md","0.047"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\check-config.sh","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\check-config.sh","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\check-db.sh","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\check-db.sh","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\check-ssh.ps1","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\check-ssh.ps1","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\check-tables.sh","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\check-tables.sh","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\creative-writing-mastery.skill","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\creative-writing-mastery.skill","0.01"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\dark-theme.sql","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\dark-theme.sql","0.002"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\delete-default-post.sql","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\delete-default-post.sql","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\fix-wp-domain.sh","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\fix-wp-domain.sh","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\fix-wp-multisite.sql","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\fix-wp-multisite.sql","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\fix-wp-url.sh","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\fix-wp-url.sh","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ghost-dark-fix.sql","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ghost-dark-fix.sql","0.002"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ghost-fix.sql","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ghost-fix.sql","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ghost-footer.sql","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ghost-footer.sql","0.002"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ghost-get-foot.sql","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ghost-get-foot.sql","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ghost-get-head.sql","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ghost-get-head.sql","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ghost-seo.sql","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ghost-seo.sql","0.001"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ghost-seo2.sql","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ghost-seo2.sql","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ghost-seo3.sql","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ghost-seo3.sql","0.001"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ghost-social.sql","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ghost-social.sql","0.001"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\HEARTBEAT.md","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\HEARTBEAT.md","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\hit-song-lyrics.skill","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\hit-song-lyrics.skill","0.005"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\IDENTITY.md","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\IDENTITY.md","0.001"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\lucernamedia-nginx.conf","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\lucernamedia-nginx.conf","0.002"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\MEMORY.md","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\MEMORY.md","0.021"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\Modelfile","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\Modelfile","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\Modelfile.Nemotron","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\Modelfile.Nemotron","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\Modelfile.Qwen3.5-35B","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\Modelfile.Qwen3.5-35B","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\nginx-docker-compose.yml","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\nginx-docker-compose.yml","0.001"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\openclaw.service","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\openclaw.service","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ordo-render-architecture.md","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ordo-render-architecture.md","0.005"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\poppy-king-horror.skill","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\poppy-king-horror.skill","0.004"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\quantum-auth-test.ps1","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\quantum-auth-test.ps1","0.001"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\scan-trackers.ps1","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\scan-trackers.ps1","0.004"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\setup-subsites.sql","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\setup-subsites.sql","0.001"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\SOUL.md","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\SOUL.md","0.002"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\storage-cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\storage-cargo.toml","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\storage-lib.rs","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\storage-lib.rs","0.003"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\subdomains-nginx.conf","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\subdomains-nginx.conf","0.003"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\temp-control-ui.js","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\temp-control-ui.js","0.753"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\test-mcp-ssh.mjs","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\test-mcp-ssh.mjs","0.002"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\TOOLS.md","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\TOOLS.md","0.004"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ui-shell-lib.rs","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\ui-shell-lib.rs","0.003"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\update-ghost-title.sql","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\update-ghost-title.sql","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\USER.md","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\USER.md","0.002"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-add-blog-menu.sh","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-add-blog-menu.sh","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-add-menu-items.sh","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-add-menu-items.sh","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-footer.html","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-footer.html","0.003"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-global-styles.json","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-global-styles.json","0.001"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-header.html","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-header.html","0.001"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-homepage-raw.html","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-homepage-raw.html","0.067"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-homepage.html","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-homepage.html","0.005"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-setup-menu.sh","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-setup-menu.sh","0.001"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-update-footer.sh","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-update-footer.sh","0.001"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-update-homepage.sh","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-update-homepage.sh","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-update-styles.sh","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-update-styles.sh","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-update-url.sql","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\wp-update-url.sql","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\.eslintrc.js","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\.eslintrc.js","0.002"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\.gitignore","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\.gitignore","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\.prettierignore","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\.prettierignore","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\.prettierrc","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\.prettierrc","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\CODE_OF_CONDUCT.md","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\CODE_OF_CONDUCT.md","0.003"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\CONTRIBUTING.md","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\CONTRIBUTING.md","0.003"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\LICENSE","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\LICENSE","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\package.json","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\package.json","0.003"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\pnpm-lock.yaml","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\pnpm-lock.yaml","0.624"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\pnpm-workspace.yaml","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\pnpm-workspace.yaml","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\README.md","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\README.md","0"
"primitive-math-store\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\STANDALONE-README.md","F:\all primitves\primitves math\Ordo crate store backups\openclaw-config-backup-20260506-090038\openclaw\workspace\grapesjs-app\STANDALONE-README.md","0.002"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\Cargo.lock","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\Cargo.lock","0.006"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\Cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\Cargo.toml","0.001"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\DEV_BIBLE.md","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\DEV_BIBLE.md","0.015"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\Cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\Cargo.toml","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\axis.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\axis.rs","0.002"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\bounds.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\bounds.rs","0.012"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\corners.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\corners.rs","0.004"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\edges.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\edges.rs","0.003"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\length.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\length.rs","0.006"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\lib.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\lib.rs","0.001"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\pixels.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\pixels.rs","0.008"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\point.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\point.rs","0.005"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\size.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\size.rs","0.005"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\traits.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-geometry\src\traits.rs","0.003"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-keymap\Cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-keymap\Cargo.toml","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-keymap\src\binding.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-keymap\src\binding.rs","0.007"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-keymap\src\context.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-keymap\src\context.rs","0.019"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-keymap\src\keymap.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-keymap\src\keymap.rs","0.016"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-keymap\src\keystroke.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-keymap\src\keystroke.rs","0.006"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-keymap\src\lib.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-keymap\src\lib.rs","0.001"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\Cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\Cargo.toml","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\clip.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\clip.rs","0.002"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\fill.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\fill.rs","0.004"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\image.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\image.rs","0.003"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\layer.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\layer.rs","0.004"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\lib.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\lib.rs","0.001"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\primitive.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\primitive.rs","0.005"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\shape.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\shape.rs","0.005"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\stroke.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\stroke.rs","0.002"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\text.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\text.rs","0.005"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\transform.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\cap-primitives\src\transform.rs","0.005"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-branding-experiment\.gitignore","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-branding-experiment\.gitignore","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-branding-experiment\Cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-branding-experiment\Cargo.toml","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-branding-experiment\src\lib.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-branding-experiment\src\lib.rs","0.013"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-color-experiment\.gitignore","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-color-experiment\.gitignore","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-color-experiment\Cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-color-experiment\Cargo.toml","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-color-experiment\src\lib.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-color-experiment\src\lib.rs","0.026"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-curves-experiment\.gitignore","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-curves-experiment\.gitignore","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-curves-experiment\Cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-curves-experiment\Cargo.toml","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-curves-experiment\src\lib.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-curves-experiment\src\lib.rs","0.004"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-dnd-experiment\.gitignore","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-dnd-experiment\.gitignore","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-dnd-experiment\Cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-dnd-experiment\Cargo.toml","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-dnd-experiment\src\lib.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-dnd-experiment\src\lib.rs","0.014"
